,DZD,AOA,ARS,AMD,AUD,EUR,AZN,BHD,BBD,BYN,EUR,BMD,BOB,BAM,BWP,BRL,BGN,CVE,KHR,XAF,CAD,KYD,XAF,CLP,CNY,COP,CDF,XAF,CRC,HRK,EUR,CZK,DKK,DOP,USD,EGP,USD,XAF,EUR,FJD,EUR,EUR,XAF,GEL,EUR,GHS,GIP,EUR,DKK,GTQ,GBP,GYD,HNL,HKD,HUF,ISK,INR,IDR,IQD,EUR,IMP,ILS,EUR,XOF,JMD,JPY,GBP,JOD,KZT,KES,KRW,EUR,KWD,KGS,LAK,EUR,LBP,LYD,CHF,EUR,EUR,MOP,MGA,MWK,MYR,MVR,EUR,MRU,MUR,MXN,MDL,MNT,EUR,MAD,MZN,MMK,NAD,EUR,NZD,NIO,NGN,MKD,NOK,OMR,PKR,"ILS, USD, and JOD",PAB  and USD,PGK,PYG,PEN,PHP,PLN,EUR,USD,QAR,RON,RUB,RWF,XCD,SAR,XOF,RSD,SGD,EUR,EUR,ZAR,EUR,LKR,SZL,SEK,CHF,TWD,TJS,TZS,THB,USD,TTD,TND,TRY,TMT,UGX,UAH,AED,GBP,USD,UYU,UZS,VEF,VND,ZMW,ZWD
DZD,1,AOADZD,ARSDZD,AMDDZD,AUDDZD,EURDZD,AZNDZD,BHDDZD,BBDDZD,BYNDZD,EURDZD,BMDDZD,BOBDZD,BAMDZD,BWPDZD,BRLDZD,BGNDZD,CVEDZD,KHRDZD,XAFDZD,CADDZD,KYDDZD,XAFDZD,CLPDZD,CNYDZD,COPDZD,CDFDZD,XAFDZD,CRCDZD,HRKDZD,EURDZD,CZKDZD,DKKDZD,DOPDZD,USDDZD,EGPDZD,USDDZD,XAFDZD,EURDZD,FJDDZD,EURDZD,EURDZD,XAFDZD,GELDZD,EURDZD,GHSDZD,GIPDZD,EURDZD,DKKDZD,GTQDZD,GBPDZD,GYDDZD,HNLDZD,HKDDZD,HUFDZD,ISKDZD,INRDZD,IDRDZD,IQDDZD,EURDZD,IMPDZD,ILSDZD,EURDZD,XOFDZD,JMDDZD,JPYDZD,GBPDZD,JODDZD,KZTDZD,KESDZD,KRWDZD,EURDZD,KWDDZD,KGSDZD,LAKDZD,EURDZD,LBPDZD,LYDDZD,CHFDZD,EURDZD,EURDZD,MOPDZD,MGADZD,MWKDZD,MYRDZD,MVRDZD,EURDZD,MRUDZD,MURDZD,MXNDZD,MDLDZD,MNTDZD,EURDZD,MADDZD,MZNDZD,MMKDZD,NADDZD,EURDZD,NZDDZD,NIODZD,NGNDZD,MKDDZD,NOKDZD,OMRDZD,PKRDZD,"ILS, USD, and JODDZD",PAB  and USDDZD,PGKDZD,PYGDZD,PENDZD,PHPDZD,PLNDZD,EURDZD,USDDZD,QARDZD,RONDZD,RUBDZD,RWFDZD,XCDDZD,SARDZD,XOFDZD,RSDDZD,SGDDZD,EURDZD,EURDZD,ZARDZD,EURDZD,LKRDZD,SZLDZD,SEKDZD,CHFDZD,TWDDZD,TJSDZD,TZSDZD,THBDZD,USDDZD,TTDDZD,TNDDZD,TRYDZD,TMTDZD,UGXDZD,UAHDZD,AEDDZD,GBPDZD,USDDZD,UYUDZD,UZSDZD,VEFDZD,VNDDZD,ZMWDZD,ZWDDZD
AOA,DZDAOA,1,ARSAOA,AMDAOA,AUDAOA,EURAOA,AZNAOA,BHDAOA,BBDAOA,BYNAOA,EURAOA,BMDAOA,BOBAOA,BAMAOA,BWPAOA,BRLAOA,BGNAOA,CVEAOA,KHRAOA,XAFAOA,CADAOA,KYDAOA,XAFAOA,CLPAOA,CNYAOA,COPAOA,CDFAOA,XAFAOA,CRCAOA,HRKAOA,EURAOA,CZKAOA,DKKAOA,DOPAOA,USDAOA,EGPAOA,USDAOA,XAFAOA,EURAOA,FJDAOA,EURAOA,EURAOA,XAFAOA,GELAOA,EURAOA,GHSAOA,GIPAOA,EURAOA,DKKAOA,GTQAOA,GBPAOA,GYDAOA,HNLAOA,HKDAOA,HUFAOA,ISKAOA,INRAOA,IDRAOA,IQDAOA,EURAOA,IMPAOA,ILSAOA,EURAOA,XOFAOA,JMDAOA,JPYAOA,GBPAOA,JODAOA,KZTAOA,KESAOA,KRWAOA,EURAOA,KWDAOA,KGSAOA,LAKAOA,EURAOA,LBPAOA,LYDAOA,CHFAOA,EURAOA,EURAOA,MOPAOA,MGAAOA,MWKAOA,MYRAOA,MVRAOA,EURAOA,MRUAOA,MURAOA,MXNAOA,MDLAOA,MNTAOA,EURAOA,MADAOA,MZNAOA,MMKAOA,NADAOA,EURAOA,NZDAOA,NIOAOA,NGNAOA,MKDAOA,NOKAOA,OMRAOA,PKRAOA,"ILS, USD, and JODAOA",PAB  and USDAOA,PGKAOA,PYGAOA,PENAOA,PHPAOA,PLNAOA,EURAOA,USDAOA,QARAOA,RONAOA,RUBAOA,RWFAOA,XCDAOA,SARAOA,XOFAOA,RSDAOA,SGDAOA,EURAOA,EURAOA,ZARAOA,EURAOA,LKRAOA,SZLAOA,SEKAOA,CHFAOA,TWDAOA,TJSAOA,TZSAOA,THBAOA,USDAOA,TTDAOA,TNDAOA,TRYAOA,TMTAOA,UGXAOA,UAHAOA,AEDAOA,GBPAOA,USDAOA,UYUAOA,UZSAOA,VEFAOA,VNDAOA,ZMWAOA,ZWDAOA
ARS,DZDARS,AOAARS,1,AMDARS,AUDARS,EURARS,AZNARS,BHDARS,BBDARS,BYNARS,EURARS,BMDARS,BOBARS,BAMARS,BWPARS,BRLARS,BGNARS,CVEARS,KHRARS,XAFARS,CADARS,KYDARS,XAFARS,CLPARS,CNYARS,COPARS,CDFARS,XAFARS,CRCARS,HRKARS,EURARS,CZKARS,DKKARS,DOPARS,USDARS,EGPARS,USDARS,XAFARS,EURARS,FJDARS,EURARS,EURARS,XAFARS,GELARS,EURARS,GHSARS,GIPARS,EURARS,DKKARS,GTQARS,GBPARS,GYDARS,HNLARS,HKDARS,HUFARS,ISKARS,INRARS,IDRARS,IQDARS,EURARS,IMPARS,ILSARS,EURARS,XOFARS,JMDARS,JPYARS,GBPARS,JODARS,KZTARS,KESARS,KRWARS,EURARS,KWDARS,KGSARS,LAKARS,EURARS,LBPARS,LYDARS,CHFARS,EURARS,EURARS,MOPARS,MGAARS,MWKARS,MYRARS,MVRARS,EURARS,MRUARS,MURARS,MXNARS,MDLARS,MNTARS,EURARS,MADARS,MZNARS,MMKARS,NADARS,EURARS,NZDARS,NIOARS,NGNARS,MKDARS,NOKARS,OMRARS,PKRARS,"ILS, USD, and JODARS",PAB  and USDARS,PGKARS,PYGARS,PENARS,PHPARS,PLNARS,EURARS,USDARS,QARARS,RONARS,RUBARS,RWFARS,XCDARS,SARARS,XOFARS,RSDARS,SGDARS,EURARS,EURARS,ZARARS,EURARS,LKRARS,SZLARS,SEKARS,CHFARS,TWDARS,TJSARS,TZSARS,THBARS,USDARS,TTDARS,TNDARS,TRYARS,TMTARS,UGXARS,UAHARS,AEDARS,GBPARS,USDARS,UYUARS,UZSARS,VEFARS,VNDARS,ZMWARS,ZWDARS
AMD,DZDAMD,AOAAMD,ARSAMD,1,AUDAMD,EURAMD,AZNAMD,BHDAMD,BBDAMD,BYNAMD,EURAMD,BMDAMD,BOBAMD,BAMAMD,BWPAMD,BRLAMD,BGNAMD,CVEAMD,KHRAMD,XAFAMD,CADAMD,KYDAMD,XAFAMD,CLPAMD,CNYAMD,COPAMD,CDFAMD,XAFAMD,CRCAMD,HRKAMD,EURAMD,CZKAMD,DKKAMD,DOPAMD,USDAMD,EGPAMD,USDAMD,XAFAMD,EURAMD,FJDAMD,EURAMD,EURAMD,XAFAMD,GELAMD,EURAMD,GHSAMD,GIPAMD,EURAMD,DKKAMD,GTQAMD,GBPAMD,GYDAMD,HNLAMD,HKDAMD,HUFAMD,ISKAMD,INRAMD,IDRAMD,IQDAMD,EURAMD,IMPAMD,ILSAMD,EURAMD,XOFAMD,JMDAMD,JPYAMD,GBPAMD,JODAMD,KZTAMD,KESAMD,KRWAMD,EURAMD,KWDAMD,KGSAMD,LAKAMD,EURAMD,LBPAMD,LYDAMD,CHFAMD,EURAMD,EURAMD,MOPAMD,MGAAMD,MWKAMD,MYRAMD,MVRAMD,EURAMD,MRUAMD,MURAMD,MXNAMD,MDLAMD,MNTAMD,EURAMD,MADAMD,MZNAMD,MMKAMD,NADAMD,EURAMD,NZDAMD,NIOAMD,NGNAMD,MKDAMD,NOKAMD,OMRAMD,PKRAMD,"ILS, USD, and JODAMD",PAB  and USDAMD,PGKAMD,PYGAMD,PENAMD,PHPAMD,PLNAMD,EURAMD,USDAMD,QARAMD,RONAMD,RUBAMD,RWFAMD,XCDAMD,SARAMD,XOFAMD,RSDAMD,SGDAMD,EURAMD,EURAMD,ZARAMD,EURAMD,LKRAMD,SZLAMD,SEKAMD,CHFAMD,TWDAMD,TJSAMD,TZSAMD,THBAMD,USDAMD,TTDAMD,TNDAMD,TRYAMD,TMTAMD,UGXAMD,UAHAMD,AEDAMD,GBPAMD,USDAMD,UYUAMD,UZSAMD,VEFAMD,VNDAMD,ZMWAMD,ZWDAMD
AUD,DZDAUD,AOAAUD,ARSAUD,AMDAUD,1,EURAUD,AZNAUD,BHDAUD,BBDAUD,BYNAUD,EURAUD,BMDAUD,BOBAUD,BAMAUD,BWPAUD,BRLAUD,BGNAUD,CVEAUD,KHRAUD,XAFAUD,CADAUD,KYDAUD,XAFAUD,CLPAUD,CNYAUD,COPAUD,CDFAUD,XAFAUD,CRCAUD,HRKAUD,EURAUD,CZKAUD,DKKAUD,DOPAUD,USDAUD,EGPAUD,USDAUD,XAFAUD,EURAUD,FJDAUD,EURAUD,EURAUD,XAFAUD,GELAUD,EURAUD,GHSAUD,GIPAUD,EURAUD,DKKAUD,GTQAUD,GBPAUD,GYDAUD,HNLAUD,HKDAUD,HUFAUD,ISKAUD,INRAUD,IDRAUD,IQDAUD,EURAUD,IMPAUD,ILSAUD,EURAUD,XOFAUD,JMDAUD,JPYAUD,GBPAUD,JODAUD,KZTAUD,KESAUD,KRWAUD,EURAUD,KWDAUD,KGSAUD,LAKAUD,EURAUD,LBPAUD,LYDAUD,CHFAUD,EURAUD,EURAUD,MOPAUD,MGAAUD,MWKAUD,MYRAUD,MVRAUD,EURAUD,MRUAUD,MURAUD,MXNAUD,MDLAUD,MNTAUD,EURAUD,MADAUD,MZNAUD,MMKAUD,NADAUD,EURAUD,NZDAUD,NIOAUD,NGNAUD,MKDAUD,NOKAUD,OMRAUD,PKRAUD,"ILS, USD, and JODAUD",PAB  and USDAUD,PGKAUD,PYGAUD,PENAUD,PHPAUD,PLNAUD,EURAUD,USDAUD,QARAUD,RONAUD,RUBAUD,RWFAUD,XCDAUD,SARAUD,XOFAUD,RSDAUD,SGDAUD,EURAUD,EURAUD,ZARAUD,EURAUD,LKRAUD,SZLAUD,SEKAUD,CHFAUD,TWDAUD,TJSAUD,TZSAUD,THBAUD,USDAUD,TTDAUD,TNDAUD,TRYAUD,TMTAUD,UGXAUD,UAHAUD,AEDAUD,GBPAUD,USDAUD,UYUAUD,UZSAUD,VEFAUD,VNDAUD,ZMWAUD,ZWDAUD
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
AZN,DZDAZN,AOAAZN,ARSAZN,AMDAZN,AUDAZN,EURAZN,1,BHDAZN,BBDAZN,BYNAZN,EURAZN,BMDAZN,BOBAZN,BAMAZN,BWPAZN,BRLAZN,BGNAZN,CVEAZN,KHRAZN,XAFAZN,CADAZN,KYDAZN,XAFAZN,CLPAZN,CNYAZN,COPAZN,CDFAZN,XAFAZN,CRCAZN,HRKAZN,EURAZN,CZKAZN,DKKAZN,DOPAZN,USDAZN,EGPAZN,USDAZN,XAFAZN,EURAZN,FJDAZN,EURAZN,EURAZN,XAFAZN,GELAZN,EURAZN,GHSAZN,GIPAZN,EURAZN,DKKAZN,GTQAZN,GBPAZN,GYDAZN,HNLAZN,HKDAZN,HUFAZN,ISKAZN,INRAZN,IDRAZN,IQDAZN,EURAZN,IMPAZN,ILSAZN,EURAZN,XOFAZN,JMDAZN,JPYAZN,GBPAZN,JODAZN,KZTAZN,KESAZN,KRWAZN,EURAZN,KWDAZN,KGSAZN,LAKAZN,EURAZN,LBPAZN,LYDAZN,CHFAZN,EURAZN,EURAZN,MOPAZN,MGAAZN,MWKAZN,MYRAZN,MVRAZN,EURAZN,MRUAZN,MURAZN,MXNAZN,MDLAZN,MNTAZN,EURAZN,MADAZN,MZNAZN,MMKAZN,NADAZN,EURAZN,NZDAZN,NIOAZN,NGNAZN,MKDAZN,NOKAZN,OMRAZN,PKRAZN,"ILS, USD, and JODAZN",PAB  and USDAZN,PGKAZN,PYGAZN,PENAZN,PHPAZN,PLNAZN,EURAZN,USDAZN,QARAZN,RONAZN,RUBAZN,RWFAZN,XCDAZN,SARAZN,XOFAZN,RSDAZN,SGDAZN,EURAZN,EURAZN,ZARAZN,EURAZN,LKRAZN,SZLAZN,SEKAZN,CHFAZN,TWDAZN,TJSAZN,TZSAZN,THBAZN,USDAZN,TTDAZN,TNDAZN,TRYAZN,TMTAZN,UGXAZN,UAHAZN,AEDAZN,GBPAZN,USDAZN,UYUAZN,UZSAZN,VEFAZN,VNDAZN,ZMWAZN,ZWDAZN
BHD,DZDBHD,AOABHD,ARSBHD,AMDBHD,AUDBHD,EURBHD,AZNBHD,1,BBDBHD,BYNBHD,EURBHD,BMDBHD,BOBBHD,BAMBHD,BWPBHD,BRLBHD,BGNBHD,CVEBHD,KHRBHD,XAFBHD,CADBHD,KYDBHD,XAFBHD,CLPBHD,CNYBHD,COPBHD,CDFBHD,XAFBHD,CRCBHD,HRKBHD,EURBHD,CZKBHD,DKKBHD,DOPBHD,USDBHD,EGPBHD,USDBHD,XAFBHD,EURBHD,FJDBHD,EURBHD,EURBHD,XAFBHD,GELBHD,EURBHD,GHSBHD,GIPBHD,EURBHD,DKKBHD,GTQBHD,GBPBHD,GYDBHD,HNLBHD,HKDBHD,HUFBHD,ISKBHD,INRBHD,IDRBHD,IQDBHD,EURBHD,IMPBHD,ILSBHD,EURBHD,XOFBHD,JMDBHD,JPYBHD,GBPBHD,JODBHD,KZTBHD,KESBHD,KRWBHD,EURBHD,KWDBHD,KGSBHD,LAKBHD,EURBHD,LBPBHD,LYDBHD,CHFBHD,EURBHD,EURBHD,MOPBHD,MGABHD,MWKBHD,MYRBHD,MVRBHD,EURBHD,MRUBHD,MURBHD,MXNBHD,MDLBHD,MNTBHD,EURBHD,MADBHD,MZNBHD,MMKBHD,NADBHD,EURBHD,NZDBHD,NIOBHD,NGNBHD,MKDBHD,NOKBHD,OMRBHD,PKRBHD,"ILS, USD, and JODBHD",PAB  and USDBHD,PGKBHD,PYGBHD,PENBHD,PHPBHD,PLNBHD,EURBHD,USDBHD,QARBHD,RONBHD,RUBBHD,RWFBHD,XCDBHD,SARBHD,XOFBHD,RSDBHD,SGDBHD,EURBHD,EURBHD,ZARBHD,EURBHD,LKRBHD,SZLBHD,SEKBHD,CHFBHD,TWDBHD,TJSBHD,TZSBHD,THBBHD,USDBHD,TTDBHD,TNDBHD,TRYBHD,TMTBHD,UGXBHD,UAHBHD,AEDBHD,GBPBHD,USDBHD,UYUBHD,UZSBHD,VEFBHD,VNDBHD,ZMWBHD,ZWDBHD
BBD,DZDBBD,AOABBD,ARSBBD,AMDBBD,AUDBBD,EURBBD,AZNBBD,BHDBBD,1,BYNBBD,EURBBD,BMDBBD,BOBBBD,BAMBBD,BWPBBD,BRLBBD,BGNBBD,CVEBBD,KHRBBD,XAFBBD,CADBBD,KYDBBD,XAFBBD,CLPBBD,CNYBBD,COPBBD,CDFBBD,XAFBBD,CRCBBD,HRKBBD,EURBBD,CZKBBD,DKKBBD,DOPBBD,USDBBD,EGPBBD,USDBBD,XAFBBD,EURBBD,FJDBBD,EURBBD,EURBBD,XAFBBD,GELBBD,EURBBD,GHSBBD,GIPBBD,EURBBD,DKKBBD,GTQBBD,GBPBBD,GYDBBD,HNLBBD,HKDBBD,HUFBBD,ISKBBD,INRBBD,IDRBBD,IQDBBD,EURBBD,IMPBBD,ILSBBD,EURBBD,XOFBBD,JMDBBD,JPYBBD,GBPBBD,JODBBD,KZTBBD,KESBBD,KRWBBD,EURBBD,KWDBBD,KGSBBD,LAKBBD,EURBBD,LBPBBD,LYDBBD,CHFBBD,EURBBD,EURBBD,MOPBBD,MGABBD,MWKBBD,MYRBBD,MVRBBD,EURBBD,MRUBBD,MURBBD,MXNBBD,MDLBBD,MNTBBD,EURBBD,MADBBD,MZNBBD,MMKBBD,NADBBD,EURBBD,NZDBBD,NIOBBD,NGNBBD,MKDBBD,NOKBBD,OMRBBD,PKRBBD,"ILS, USD, and JODBBD",PAB  and USDBBD,PGKBBD,PYGBBD,PENBBD,PHPBBD,PLNBBD,EURBBD,USDBBD,QARBBD,RONBBD,RUBBBD,RWFBBD,XCDBBD,SARBBD,XOFBBD,RSDBBD,SGDBBD,EURBBD,EURBBD,ZARBBD,EURBBD,LKRBBD,SZLBBD,SEKBBD,CHFBBD,TWDBBD,TJSBBD,TZSBBD,THBBBD,USDBBD,TTDBBD,TNDBBD,TRYBBD,TMTBBD,UGXBBD,UAHBBD,AEDBBD,GBPBBD,USDBBD,UYUBBD,UZSBBD,VEFBBD,VNDBBD,ZMWBBD,ZWDBBD
BYN,DZDBYN,AOABYN,ARSBYN,AMDBYN,AUDBYN,EURBYN,AZNBYN,BHDBYN,BBDBYN,1,EURBYN,BMDBYN,BOBBYN,BAMBYN,BWPBYN,BRLBYN,BGNBYN,CVEBYN,KHRBYN,XAFBYN,CADBYN,KYDBYN,XAFBYN,CLPBYN,CNYBYN,COPBYN,CDFBYN,XAFBYN,CRCBYN,HRKBYN,EURBYN,CZKBYN,DKKBYN,DOPBYN,USDBYN,EGPBYN,USDBYN,XAFBYN,EURBYN,FJDBYN,EURBYN,EURBYN,XAFBYN,GELBYN,EURBYN,GHSBYN,GIPBYN,EURBYN,DKKBYN,GTQBYN,GBPBYN,GYDBYN,HNLBYN,HKDBYN,HUFBYN,ISKBYN,INRBYN,IDRBYN,IQDBYN,EURBYN,IMPBYN,ILSBYN,EURBYN,XOFBYN,JMDBYN,JPYBYN,GBPBYN,JODBYN,KZTBYN,KESBYN,KRWBYN,EURBYN,KWDBYN,KGSBYN,LAKBYN,EURBYN,LBPBYN,LYDBYN,CHFBYN,EURBYN,EURBYN,MOPBYN,MGABYN,MWKBYN,MYRBYN,MVRBYN,EURBYN,MRUBYN,MURBYN,MXNBYN,MDLBYN,MNTBYN,EURBYN,MADBYN,MZNBYN,MMKBYN,NADBYN,EURBYN,NZDBYN,NIOBYN,NGNBYN,MKDBYN,NOKBYN,OMRBYN,PKRBYN,"ILS, USD, and JODBYN",PAB  and USDBYN,PGKBYN,PYGBYN,PENBYN,PHPBYN,PLNBYN,EURBYN,USDBYN,QARBYN,RONBYN,RUBBYN,RWFBYN,XCDBYN,SARBYN,XOFBYN,RSDBYN,SGDBYN,EURBYN,EURBYN,ZARBYN,EURBYN,LKRBYN,SZLBYN,SEKBYN,CHFBYN,TWDBYN,TJSBYN,TZSBYN,THBBYN,USDBYN,TTDBYN,TNDBYN,TRYBYN,TMTBYN,UGXBYN,UAHBYN,AEDBYN,GBPBYN,USDBYN,UYUBYN,UZSBYN,VEFBYN,VNDBYN,ZMWBYN,ZWDBYN
